//28Mar23
招呼[招呼]	Zhāohū	call
短裙[短裙]	Duǎn qún	skirt
没日没夜[沒日沒夜]	Méi rì méi yè	day and night
脾气[脾氣]	Píqì	temper
口气[口氣]	Kǒuqì	tone
整齐[整齊]	Zhěngqí	tidy
随意[隨意]	Suíyì	random
互相帮助[互相幫助]	Hùxiāng bāngzhù	Help each other
上进心[上進心]	Shàngjìn xīn	self-motivated
竟然[竟然]	Jìngrán	it turns out
难堪[難堪]	Nánkān	embarrassed
精疲力盡[精疲力盡]	Jīng pí lì jìn	exhausted
拋在腦後[拋在腦後]	Pāo zài nǎo hòu	forget about
在所難免[在所難免]	Zài suǒ nánmiǎn	inevitable
火上澆油[火上澆油]	Huǒ shàng jiāo yóu	add fuel to the fire
/FLO
码农[碼農]	Mǎ nóng	programmer
制裁[制裁]	Zhìcái	sanctions
边境[邊境]	Biānjìng	border
为期[為期]	Wéiqí	for a period
派去[派去]	Pài qù	send to
代表团[代表團]	Dàibiǎo tuán	delegation
